time,iteration,well_num,avg_h,avg_s,avg_v
1724926040.2606232,23,68,87.94097222222223,77.65277777777777,51.359375
1724926040.2607782,23,78,92.03819444444444,73.55208333333333,48.885416666666664
1724926040.2609231,23,79,92.43923611111111,84.35243055555556,34.045138888888886
1724926040.2610629,23,80,83.90972222222223,91.45138888888889,33.59722222222222
1724926040.261208,23,90,94.92708333333331,87.42013888888889,52.75868055555556
1724926040.2613473,23,91,94.15277777777776,104.17708333333331,35.447916666666664
1724926040.2614863,23,92,91.70486111111111,82.93576388888889,33.15277777777778
1724926047.8531585,23,9,91.01736111111111,49.767361111111114,121.63888888888889
1724926047.853398,23,10,91.44791666666669,50.076388888888886,135.69097222222223
1724926047.8536222,23,11,88.72916666666667,53.572916666666664,70.69097222222223
1724926047.85386,23,21,73.38020833333333,39.0625,114.21701388888889
1724926047.8541515,23,22,66.24305555555556,41.28472222222222,102.92708333333331
1724926047.8544378,23,23,78.29166666666667,36.592013888888886,124.08680555555556
1724926047.8547175,23,33,73.61111111111111,39.35243055555556,103.39930555555556
1724926047.8550274,23,34,72.79861111111111,42.82465277777778,85.13368055555556
1724926047.855318,23,35,73.91319444444444,47.09722222222222,82.99652777777777
1724926047.856968,23,45,77.90277777777777,44.286458333333336,91.98090277777776
1724926047.8572085,23,46,73.76388888888889,42.78993055555556,80.15972222222223
1724926047.8574266,23,47,73.85069444444444,48.310763888888886,78.92013888888889
1724926056.628221,23,57,59.59027777777778,50.052083333333336,80.85590277777777
1724926056.628431,23,58,65.52256944444444,49.30555555555556,81.67013888888889
1724926056.6286197,23,59,62.22569444444444,45.973958333333336,75.40277777777777
1724926056.628792,23,69,90.36458333333331,80.28645833333333,46.1875
1724926056.6289442,23,70,87.65972222222223,80.24826388888889,57.109375
1724926056.6290965,23,71,80.65972222222223,69.36458333333333,46.822916666666664
1724926056.6292524,23,81,89.59375,74.0625,45.47743055555556
1724926056.6294034,23,82,80.33854166666667,76.87326388888889,34.814236111111114
1724926056.6295526,23,83,78.38368055555556,83.78819444444444,31.881944444444443
1724926056.6297052,23,93,94.36284722222224,86.703125,52.404513888888886
1724926056.629877,23,94,87.85763888888889,115.48958333333331,31.022569444444443
1724926056.6300297,23,95,87.15972222222223,95.94965277777776,32.88368055555556
1724926389.103145,24,0,89.109375,40.385416666666664,125.0625
1724926389.1033244,24,1,82.00694444444444,33.895833333333336,148.17534722222223
1724926389.1034846,24,2,86.10763888888889,41.892361111111114,100.97395833333331
1724926389.1036406,24,12,60.5,34.22743055555556,94.71527777777776
1724926389.1038036,24,13,65.68402777777777,34.07465277777778,111.29340277777776
1724926389.1039708,24,14,71.14930555555556,35.279513888888886,117.546875
1724926389.104138,24,24,59.645833333333336,31.30034722222222,92.84027777777776
1724926389.1043022,24,25,58.78472222222222,33.87847222222222,101.34895833333331
1724926389.1044636,24,26,74.92013888888889,36.01909722222222,112.17881944444444
1724926389.1046343,24,36,62.27430555555556,31.84027777777778,94.015625
1724926389.1048005,24,37,73.22222222222223,33.536458333333336,90.09722222222224
1724926389.1049669,24,38,61.31597222222222,36.25868055555556,90.33333333333331
1724926397.5228612,24,48,72.49131944444444,33.796875,142.70659722222223
1724926397.523141,24,49,71.11458333333333,33.83680555555556,135.06944444444446
1724926397.5233192,24,50,74.09027777777777,34.69444444444444,148.10763888888889
1724926397.5234888,24,60,87.50347222222223,62.39756944444444,67.23784722222223
1724926397.5236514,24,61,78.56076388888889,61.963541666666664,41.642361111111114
1724926397.5238175,24,62,80.67361111111111,53.99305555555556,48.50347222222222
1724926397.5239768,24,72,91.63888888888889,69.99652777777777,53.826388888888886
1724926397.5241332,24,73,75.5,57.625,37.998263888888886
1724926397.524297,24,74,86.85763888888889,60.276041666666664,38.60069444444444
1724926397.5245328,24,84,93.98090277777776,68.86805555555556,54.453125
1724926397.5247688,24,85,86.34548611111111,59.36631944444444,37.873263888888886
1724926397.525003,24,86,87.90625,68.33506944444444,38.80034722222222
1724926404.9813924,24,3,81.67013888888889,37.420138888888886,143.47916666666666
1724926404.9815943,24,4,85.86111111111111,38.30555555555556,139.86111111111111
1724926404.9817736,24,5,89.40625,42.76215277777778,115.39409722222224
1724926404.981932,24,15,59.078125,36.30034722222222,92.90798611111111
1724926404.9820852,24,16,66.57638888888889,36.407986111111114,114.87152777777776
1724926404.9822423,24,17,70.14930555555556,33.979166666666664,122.52083333333331
1724926404.982474,24,27,57.58159722222222,35.53472222222222,89.77430555555556
1724926404.982631,24,28,62.447916666666664,34.453125,99.453125
1724926404.9827857,24,29,60.447916666666664,38.19618055555556,98.06770833333331
1724926404.9829483,24,39,74.22569444444444,33.859375,84.93576388888889
1724926404.9831064,24,40,63.13194444444444,30.96875,93.48263888888889
1724926404.9832644,24,41,67.74652777777777,37.77256944444444,92.85069444444444
1724926411.007536,24,51,75.11458333333333,34.578125,143.23090277777777
1724926411.0077343,24,52,73.04513888888889,34.541666666666664,142.11458333333334
1724926411.0079167,24,53,73.875,32.838541666666664,140.51388888888889
1724926411.0081136,24,63,79.04513888888889,40.96180555555556,57.41493055555556
1724926411.0083723,24,64,79.91666666666667,55.385416666666664,54.14930555555556
1724926411.0086296,24,65,76.078125,65.54513888888889,52.734375
1724926411.008861,24,75,89.87152777777777,64.21875,55.416666666666664
1724926411.009089,24,76,74.71701388888889,51.685763888888886,36.517361111111114
1724926411.00932,24,77,78.49652777777777,55.25868055555556,34.564236111111114
1724926411.0095634,24,87,95.27777777777776,73.55381944444444,54.755208333333336
1724926411.0098214,24,88,84.17881944444444,76.66319444444444,33.85590277777778
1724926411.0114963,24,89,90.46875,66.41666666666667,35.173611111111114
1724926417.8269882,24,6,91.69444444444444,54.296875,124.0625
1724926417.827175,24,7,89.92361111111111,49.729166666666664,125.63715277777776
1724926417.827336,24,8,76.33680555555556,55.71527777777778,57.93402777777778
1724926417.8274913,24,18,64.09375,38.151041666666664,102.87673611111111
1724926417.827643,24,19,56.322916666666664,39.24131944444444,108.37847222222224
1724926417.8277926,24,20,62.427083333333336,33.75694444444444,123.77256944444444
1724926417.8279436,24,30,68.14236111111111,33.111111111111114,90.046875
1724926417.8280938,24,31,61.89930555555556,37.68402777777778,89.65277777777777
